%time,field
1580981485185673952,300.9854
1580981485681226968,300.984
1580981486173881053,300.984
1580981486686685085,300.9826
1580981487182518959,300.9826
1580981487680773973,300.9812
1580981488175455093,300.9812
1580981488683643102,300.9798
1580981489181706905,300.9798
1580981489677644968,300.9784
1580981490171798944,300.9784
1580981490685872077,300.977
1580981491176794052,300.977
1580981491672796010,300.9755
1580981492188088893,300.9755
1580981492681771993,300.974
1580981493178299903,300.974
1580981493670928955,300.9725
1580981494182154893,300.9725
1580981494681510925,300.9711
1580981495173461914,300.9711
1580981495687336921,300.9697
1580981496180605888,300.9697
1580981496675956010,300.9683
1580981497175359010,300.9683
1580981497685390949,300.9669
1580981498182353019,300.9669
1580981498673568010,300.9655
1580981499169543027,300.9655
1580981499684451103,300.9642
1580981500180422067,300.9642
1580981500676808118,300.9627
1580981501184731960,300.9627
1580981501679166078,300.9612
1580981502177031993,300.9612
1580981502690100908,300.9597
1580981503182137966,300.9597
1580981503677961111,300.9582
1580981504172708034,300.9582
1580981504686930894,300.9567
1580981505180691957,300.9567
1580981505679461956,300.9551
1580981506170846939,300.9551
1580981506681699991,300.9536
1580981507181318044,300.9536
1580981507673099040,300.9521
1580981508187899112,300.9521
1580981508680182933,300.9506
1580981509175770044,300.9506
1580981509675770998,300.9492
1580981510182518959,300.9492
1580981510681602001,300.9477
1580981511173614025,300.9477
1580981511685386896,300.9461
1580981512183226108,300.9461
1580981512679163932,300.9445
1580981513176819086,300.9445
1580981513685424089,300.9429
1580981514179167985,300.9429
1580981514679394006,300.9413
1580981515187434911,300.9413
1580981515685719966,300.9397
1580981516177037954,300.9397
1580981516673824071,300.9381
1580981517187278032,300.9381
1580981517681055068,300.9366
1580981518180174112,300.9366
1580981518686918973,300.935
1580981519182429075,300.935
1580981519680254936,300.9335
1580981520174951076,300.9335
1580981520687453031,300.932
1580981521181005001,300.932
1580981521676064014,300.9306
1580981522175870895,300.9306
